feature,historical_missing_pct,2026_missing_pct,historical_mean,2026_mean,historical_std,2026_std,historical_min,historical_max,2026_min,2026_max,standardized_mean_diff,status,is_critical
pressure_acts__match_share,0.0,0.0,0.022250010334421887,0.021739130434782608,0.011254948463540198,0.011019424951878427,0.0,0.07765151515151515,0.0,0.07434944237918216,-0.04539158053848461,READY,False
hitouts_to_advantage__match_z,0.0,0.0,-1.2942122811967019e-18,-1.865529131905325e-19,0.9888175232321187,0.9891226502649172,-0.41774751586692527,6.634888026970373,-0.35114331893798373,6.612459316255155,1.1201858199130572e-18,READY,False
hitouts_to_advantage__match_pct,0.0,0.0,0.5111250051672108,0.5108695652173914,0.14416778061972274,0.14052451881259273,0.38636363636363635,1.0,0.44565217391304346,1.0,-0.0017718241116109965,READY,False
hitouts_to_advantage__match_rank,0.0,0.0,22.982989541565043,23.5,6.494353902066572,6.464127865379265,1.0,28.0,1.0,26.5,0.07960922152247331,READY,False
hitouts_to_advantage__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.09067110010417677,0.08738370385914872,0.0,1.0,0.0,0.8947368421052632,-0.005634429261940231,READY,False
marks_inside_fifty__match_z,0.0,0.0,1.5145037333152895e-18,3.2180377525366857e-18,0.9888175232321187,0.9891226502649172,-0.8995889194608119,6.154153432090374,-0.8463449650649845,5.793081468264286,1.7227991810390908e-18,READY,False
marks_inside_fifty__match_pct,0.0,0.0,0.511125005167211,0.5108695652173914,0.23233151733186613,0.23347369005089272,0.23863636363636365,1.0,0.2608695652173913,1.0,-0.001099463184131048,READY,False
marks_inside_fifty__match_rank,0.0,0.0,22.982989541565043,23.5,10.459059550184293,10.739789742341065,1.0,34.5,1.0,35.0,0.04943183045801156,READY,False
marks_inside_fifty__match_share,0.0,0.0,0.022250010334421894,0.021739130434782608,0.04237895421446501,0.0413889722265188,0.0,0.47058823529411764,0.0,0.34782608695652173,-0.012055037909947037,READY,False
goal_assists__match_z,0.0,0.0,4.506795957926104e-18,7.438797413472483e-18,0.9888175232321188,0.9891226502649172,-0.8850451777924755,5.783592522178641,-0.8896078078474228,5.8436083376601085,2.9651592803115305e-18,READY,False
goal_assists__match_pct,0.0,0.0,0.511125005167211,0.5108695652173912,0.22649636365614476,0.23383026731942877,0.2608695652173913,1.0,0.2717391304347826,1.0,-0.0011277883039552824,READY,False
goal_assists__match_rank,0.0,0.0,22.982989541565043,23.5,10.199683870371738,10.756192296693724,1.0,35.0,1.0,34.5,0.05068887085184864,READY,False
goal_assists__match_share,0.0,0.0,0.022250010334421897,0.021739130434782608,0.04047468901604301,0.03686779457775702,0.0,0.4166666666666667,0.0,0.38461538461538464,-0.012622206916445751,READY,False
spoils__match_z,0.0,0.0,5.966226828211746e-20,-6.995734244644968e-19,0.9888175232321188,0.9891226502649172,-1.1705937033264788,6.044377332044707,-1.0601433683356452,5.62618961338606,-7.678218426640771e-19,READY,False
